epoch,sur_wl,sur_den,sur_cong,sur_ovl,sur_loss,px_proxy,px_wl,px_den,px_cong,px_ovl_pairs,d_wl,d_den,d_cong,d_proxy
1,0.05232612044,1192.825928,1.315089107,0.1521917731,597.2750244,1.038497686,0.06407981366,0.811983943,1.136851687,69,0.01175369322,-1192.013944,-0.1782374198,-596.2365267
50,0.05569719151,427.2387085,1.211456776,0.1316759139,214.4124603,0.9839664698,0.06961407512,0.6058293581,1.222875482,97,0.01391688362,-426.6328791,0.01141870591,-213.4284939
100,0.05718161911,375.4766235,1.190461755,0.1226359978,188.5133514,0.9752114415,0.0718344003,0.5943523049,1.212401756,83,0.01465278119,-374.8822712,0.0219400017,-187.53814
150,0.05823304132,348.3283691,1.162909627,0.116367884,174.9202271,0.9663405418,0.07347209007,0.5838301778,1.20190664,74,0.01523904875,-347.744539,0.03899701264,-173.9538865
200,0.05901000276,332.3680725,1.161600828,0.1190893427,166.9429321,0.9698345661,0.0748142004,0.5790061355,1.21103467,75,0.01580419764,-331.7890664,0.0494338414,-165.9730976
250,0.05947390944,323.7055969,1.133850574,0.118952848,162.5981598,0.9638522863,0.07553273439,0.5742695332,1.202369518,72,0.01605882496,-323.1313274,0.0685189434,-161.6343075
300,0.05996535718,317.1103516,1.131023288,0.1185578331,159.2992096,0.9577134848,0.07628063112,0.573682785,1.189182942,56,0.01631527394,-316.5366688,0.05815965427,-158.3414961
350,0.06050425023,312.4031982,1.125178576,0.1175036356,156.9421997,0.9615893364,0.07696451992,0.574860096,1.194389554,58,0.01646026969,-311.8283381,0.06921097839,-155.9806104
400,0.06096533686,308.6943359,1.138759851,0.1161604598,155.0936737,0.9609257579,0.07755452394,0.5747374296,1.192005034,55,0.01658918709,-308.1195985,0.05324518293,-154.1327479
450,0.06132909656,305.7263794,1.138797402,0.1159322187,153.609848,0.9559063911,0.07809943706,0.571883738,1.183730108,55,0.0167703405,-305.1544957,0.04493270571,-152.6539416
500,0.06160496548,303.523468,1.135264158,0.1155316904,152.506485,0.9574579,0.07849844545,0.570073247,1.187845646,54,0.01689347997,-302.9533948,0.05258148768,-151.5490271
