epoch,l_wl,l_cong,l_dh,l_ds,loss,proxy,w_wl,w_dh,w_ds,w_cong,delta_proxy,adapt_step
0,0.05232612044,1.525229931,0.8119844198,0,1.220933318,,1,0.5,0,0.5,,
1,0.0523205474,1.524162769,0.8094257116,0,1.21911478,,1,0.5,0,0.5,,
2,0.05231517181,1.523093462,0.8068727255,0,1.217298269,,1,0.5,0,0.5,,
3,0.05231001228,1.522360444,0.8043912053,0,1.215685844,,1,0.5,0,0.5,,
4,0.05230502784,1.521704674,0.8019349575,0,1.214124918,,1,0.5,0,0.5,,
5,0.05230036378,1.52069056,0.7995027304,0,1.212396979,,1,0.5,0,0.5,,
6,0.05229574814,1.519824266,0.79711169,0,1.210763693,,1,0.5,0,0.5,,
7,0.05229124427,1.519038439,0.7947311997,0,1.209176064,,1,0.5,0,0.5,,
8,0.05228680745,1.51849401,0.7923709154,0,1.207719326,,1,0.5,0,0.5,,
9,0.052282352,1.51773119,0.7900106311,0,1.206153274,,1,0.5,0,0.5,,
10,0.05227799341,1.516967416,0.7876726389,0,1.20459795,,1,0.5,0,0.5,,
11,0.05227360874,1.51621151,0.7854027152,0,1.203080654,,1,0.5,0,0.5,,
12,0.05226939544,1.514952779,0.7831268311,0,1.201309204,,1,0.5,0,0.5,,
13,0.05226535723,1.51425004,0.7809010148,0,1.199840903,,1,0.5,0,0.5,,
14,0.05226145685,1.513524055,0.7786973119,0,1.198372126,,1,0.5,0,0.5,,
15,0.05225761607,1.51292026,0.7765315771,0,1.196983576,,1,0.5,0,0.5,,
16,0.05225393176,1.512216806,0.7743818164,0,1.195553303,,1,0.5,0,0.5,,
17,0.05225032195,1.512144804,0.7722628117,0,1.194454193,,1,0.5,0,0.5,,
18,0.0522467792,1.511229753,0.7701492906,0,1.192936301,,1,0.5,0,0.5,,
[surrogate_vs_proxy] epoch=19 sur_raw(wl,dh,cong)=(0.0522402,0.76599,1.50868) px_raw(wl,den,cong)=(0.0640396,0.76599,1.14859) pv=1.02133 sur_n=0.9984/0.9434/0.9892 px_n=0.9994/0.9434/1.0114 gap_n(sur-px)=-0.0010/+0.0000/-0.0222 max_abs_gap=congestion(0.0222)
19,0.05224340037,1.51066339,0.7680569291,0,1.191603541,1.02133064,1,0.5,0,0.5,,
20,0.05224016681,1.508684278,0.7659900784,0,1.189577341,,1,0.5,0,0.5,,
21,0.05223710835,1.507619619,0.7639650106,0,1.188029408,,1,0.5,0,0.5,,
22,0.05223410577,1.506602049,0.761943996,0,1.186507106,,1,0.5,0,0.5,,
23,0.05223118886,1.506040931,0.759965837,0,1.185234547,,1,0.5,0,0.5,,
24,0.05222841725,1.506880522,0.7580341697,0,1.184685707,,1,0.5,0,0.5,,
25,0.05222589523,1.506206989,0.7561001778,0,1.183379412,,1,0.5,0,0.5,,
26,0.0522236079,1.505484819,0.7541337013,0,1.182032824,,1,0.5,0,0.5,,
27,0.05222144723,1.504653215,0.7522369027,0,1.180666447,,1,0.5,0,0.5,,
28,0.05221930519,1.506031752,0.7503862977,0,1.180428267,,1,0.5,0,0.5,,
29,0.05221732333,1.505459189,0.7485695481,0,1.179231644,,1,0.5,0,0.5,,
30,0.05221540853,1.504987836,0.7467724085,0,1.178095579,,1,0.5,0,0.5,,
31,0.05221350864,1.504462361,0.7450020909,0,1.176945686,,1,0.5,0,0.5,,
32,0.05221164972,1.504024029,0.7432543635,0,1.175850868,,1,0.5,0,0.5,,
33,0.05220994353,1.503552198,0.7415090799,0,1.174740553,,1,0.5,0,0.5,,
34,0.05220837891,1.50292635,0.7397896051,0,1.173566341,,1,0.5,0,0.5,,
35,0.05220684782,1.502331138,0.7380999923,0,1.172422409,,1,0.5,0,0.5,,
36,0.05220540613,1.501712441,0.7364080548,0,1.171265602,,1,0.5,0,0.5,,
37,0.05220409855,1.501151204,0.7347027063,0,1.170131087,,1,0.5,0,0.5,,
38,0.0522027649,1.500572205,0.7330275774,0,1.169002652,,1,0.5,0,0.5,,
[surrogate_vs_proxy] epoch=39 sur_raw(wl,dh,cong)=(0.0522001,0.729775,1.49927) px_raw(wl,den,cong)=(0.0640724,0.729775,1.15471) pv=1.00632 sur_n=0.9976/0.8988/0.9830 px_n=0.9999/0.8988/1.0168 gap_n(sur-px)=-0.0023/+0.0000/-0.0338 max_abs_gap=congestion(0.0338)
39,0.05220137164,1.500809908,0.7313938737,0,1.168303251,1.006315914,1,0.5,0,0.5,,
40,0.05220010877,1.499269128,0.7297751307,0,1.166722298,,1,0.5,0,0.5,,
41,0.05219897628,1.498756051,0.7281799912,0,1.165667057,,1,0.5,0,0.5,,
42,0.05219788477,1.498711467,0.7265596986,0,1.164833426,,1,0.5,0,0.5,,
43,0.05219684914,1.498034716,0.724935174,0,1.163681746,,1,0.5,0,0.5,,
44,0.05219581351,1.496007562,0.7233297825,0,1.161864519,,1,0.5,0,0.5,,
45,0.05219484866,1.495086312,0.7217386365,0,1.160607338,,1,0.5,0,0.5,,
46,0.05219398066,1.494778633,0.7201700807,0,1.159668326,,1,0.5,0,0.5,,
47,0.05219326913,1.494079709,0.7185980082,0,1.158532143,,1,0.5,0,0.5,,
