cycle,phase,step,proxy_cost,wirelength_cost,density_cost,congestion_cost,overlap_count
1,cycle_start,before_gpu,1.038497686,0.06407981366,0.811983943,1.136851687,69
1,gpu,after_stagnation_or_cap,0.9154385328,0.07148849219,0.5007185936,1.187181461,81
1,explore,after_200_epochs,0.9000131488,0.07403443009,0.5248613954,1.127096034,79
2,cycle_start,before_gpu,0.9000131488,0.07403443009,0.5248613954,1.127096034,79
1,cycle_start,before_gpu,1.038497686,0.06407981366,0.811983943,1.136851687,69
1,gpu,after_stagnation_or_cap,0.9154385328,0.07148849219,0.5007185936,1.187181461,81
1,explore,after_200_epochs,0.9000131488,0.07403443009,0.5248613954,1.127096034,79
1,gpu_after_explore,after_stagnation_or_cap,0.8693124056,0.07659844309,0.4720636308,1.11336419,63
1,final,end,0.8693124056,0.07659844309,0.4720636308,1.11336419,63
1,cycle_start,before_gpu,1.038497686,0.06407981366,0.811983943,1.136851687,69
1,gpu,after_stagnation_or_cap,0.9154385328,0.07148849219,0.5007185936,1.187181461,81
1,explore,after_200_epochs,0.9000131488,0.07403443009,0.5248613954,1.127096034,79
1,gpu_after_explore,after_stagnation_or_cap,0.8693124056,0.07659844309,0.4720636308,1.11336419,63
2,cycle_start,before_gpu,0.8693124056,0.07659844309,0.4720636308,1.11336419,63
2,gpu,after_stagnation_or_cap,0.8697965145,0.07672763616,0.470125854,1.116011994,64
2,explore,after_200_epochs,0.8582805395,0.07829000056,0.4758943617,1.084086766,64
2,gpu_after_explore,after_stagnation_or_cap,0.8557434082,0.0782033354,0.4621320069,1.092948194,52
2,final,end,0.8557434082,0.0782033354,0.4621320069,1.092948194,52
1,cycle_start,before_gpu,1.038497686,0.06407981366,0.811983943,1.136851687,69
1,gpu,after_stagnation_or_cap,0.9154385328,0.07148849219,0.5007185936,1.187181461,81
1,explore,after_500_epochs,0.8875118494,0.07587141544,0.5403832793,1.082897658,81
1,gpu_after_explore,after_stagnation_or_cap,0.8792375326,0.07660355419,0.4939617813,1.111306247,88
1,final,end,0.8792375326,0.07660355419,0.4939617813,1.111306247,88
1,cycle_start,before_gpu,1.038497686,0.06407981366,0.811983943,1.136851687,69
1,gpu,after_stagnation_or_cap,0.9154385328,0.07148849219,0.5007185936,1.187181461,81
1,explore,after_100_epochs,0.907714963,0.07270947844,0.5085632801,1.16144778,81
2,cycle_start,before_gpu,0.907714963,0.07270947844,0.5085632801,1.16144778,81
2,gpu,after_stagnation_or_cap,0.879799962,0.07571493089,0.472235173,1.135934898,58
2,explore,after_100_epochs,0.8764739037,0.0766094923,0.4809975028,1.118731411,61
3,cycle_start,before_gpu,0.8764739037,0.0766094923,0.4809975028,1.118731411,61
3,gpu,after_stagnation_or_cap,0.86667943,0.07705368847,0.4632198811,1.116031488,71
3,explore,after_100_epochs,0.8605053425,0.07810921967,0.4746488035,1.090143453,71
3,final_gpu_start,before_gpu,0.8605053425,0.07810921967,0.4746488035,1.090143453,71
3,final_gpu,after_stagnation_or_cap,0.858484149,0.07808223367,0.4567142129,1.10408965,55
3,final,end,0.858484149,0.07808223367,0.4567142129,1.10408965,55
1,cycle_start,before_gpu,1.038497686,0.06407981366,0.811983943,1.136851687,69
1,gpu,after_stagnation_or_cap,0.9154385328,0.07148849219,0.5007185936,1.187181461,81
1,explore,after_100_epochs,0.9058737755,0.07157602906,0.5153620243,1.153233446,81
2,cycle_start,before_gpu,0.9058737755,0.07157602906,0.5153620243,1.153233446,81
2,gpu,after_stagnation_or_cap,0.9089163542,0.07235980034,0.4998787642,1.173234358,111
