cycle,phase,step,proxy_cost,wirelength_cost,density_cost,congestion_cost,overlap_count
0,init,start,1.325485945,0.07938712835,0.7319133878,1.76028432,61
1,cycle_start,before_gpu,1.325485945,0.07938712835,0.7319133878,1.76028432,61
1,gpu,after_stagnation_or_cap,1.258606195,0.0881658271,0.500026226,1.840854666,10
1,explore,after_50_epochs,1.235822439,0.09094668925,0.5076813698,1.782070218,10
2,cycle_start,before_gpu,1.235822439,0.09094668925,0.5076813698,1.782070218,10
2,gpu,after_stagnation_or_cap,1.235822439,0.09094668925,0.5076813698,1.782070218,10
2,explore,after_50_epochs,1.208804369,0.09683054686,0.5127588511,1.711188893,10
3,cycle_start,before_gpu,1.208804369,0.09683054686,0.5127588511,1.711188893,10
3,gpu,after_stagnation_or_cap,1.208804369,0.09683054686,0.5127588511,1.711188893,10
3,explore,after_50_epochs,1.194212675,0.09887219965,0.5167672634,1.673913694,10
3,final_gpu_start,before_gpu,1.194212675,0.09887219965,0.5167672634,1.673913694,10
3,final_gpu,after_stagnation_or_cap,1.193933487,0.0975791961,0.5000378489,1.692670752,9
3,abbacus,before,1.193933487,0.0975791961,0.5000378489,1.692670752,9
3,abbacus,after,1.193993807,0.09739748389,0.5004891753,1.692703644,0
3,final,end,1.193993807,0.09739748389,0.5004891753,1.692703644,0
0,init,start,1.325485945,0.07938712835,0.7319133878,1.76028432,61
1,cycle_start,before_gpu,1.325485945,0.07938712835,0.7319133878,1.76028432,61
1,gpu,after_stagnation_or_cap,1.258606195,0.0881658271,0.500026226,1.840854666,10
1,explore,after_50_epochs,1.235822439,0.09094668925,0.5076813698,1.782070218,10
2,cycle_start,before_gpu,1.235822439,0.09094668925,0.5076813698,1.782070218,10
0,init,start,1.325485945,0.07938712835,0.7319133878,1.76028432,61
1,cycle_start,before_gpu,1.325485945,0.07938712835,0.7319133878,1.76028432,61
1,gpu,after_stagnation_or_cap,1.258606195,0.0881658271,0.500026226,1.840854666,10
1,explore,after_50_epochs,1.235822439,0.09094668925,0.5076813698,1.782070218,10
2,cycle_start,before_gpu,1.235822439,0.09094668925,0.5076813698,1.782070218,10
2,gpu,after_stagnation_or_cap,1.228865266,0.09197380394,0.5000260472,1.773756896,16
2,explore,after_50_epochs,1.20383358,0.09670642763,0.5032169223,1.711037546,16
3,cycle_start,before_gpu,1.20383358,0.09670642763,0.5032169223,1.711037546,16
3,gpu,after_stagnation_or_cap,1.20383358,0.09670642763,0.5032169223,1.711037546,16
3,explore,after_50_epochs,1.188660741,0.09958349913,0.5070912838,1.671063169,16
3,final_gpu_start,before_gpu,1.188660741,0.09958349913,0.5070912838,1.671063169,16
3,final_gpu,after_stagnation_or_cap,1.193016052,0.09785862267,0.5000101924,1.690304492,14
3,abbacus,before,1.193016052,0.09785862267,0.5000101924,1.690304492,14
3,abbacus,after,1.193756461,0.09786428511,0.5014798641,1.690304492,0
3,final,end,1.193756461,0.09786428511,0.5014798641,1.690304492,0
0,init,start,1.325485945,0.07938712835,0.7319133878,1.76028432,61
1,cycle_start,before_gpu,1.325485945,0.07938712835,0.7319133878,1.76028432,61
1,gpu,after_stagnation_or_cap,1.260552287,0.08744963259,0.5000301003,1.846175205,15
1,explore,after_50_epochs,1.233779073,0.09165938944,0.5090381503,1.775201258,15
2,cycle_start,before_gpu,1.233779073,0.09165938944,0.5090381503,1.775201258,15
